Timestamp;Nada seguro;Poco seguro;Moderadamente seguro;Muy seguro;Completamente seguro;Instrucciones: Describe en detalle tu opinión sobre las acciones que crees que deberían implementarse para responder al cambio climático. 
5/9/2024 19:40:08;3;3;1;4;2;Pues debería sembrar árboles dejar  que las empresas boten mucho humo
5/9/2024 19:41:28;1;2;3;3;4;No contaminar en los lugares de la naturaleza.
5/9/2024 19:41:45;4;3;2;1;0;campañas dando información de lo que esta pasando y como cambiar
5/9/2024 19:43:38;0;3;3;5;5;Creo que se debería hacer más campañas de concientizacion y a su vez crear más leyes en contra de las cosas que causan el cambio climático 
5/9/2024 19:45:06;0;1;2;0;1;si las personas reciclaran mas es decir reutilizaran cosas que ya usaron y no solo las personas normales tambien las empresas crearan mas articulos reutilizables estariamos mucho mejor
5/9/2024 19:45:27;5;4;3;2;1;llevar un mejor control de las cosas, así tenemos un control para que el cambio climático mejore, haciendo campañas de reciclaje y evitar botar basura
5/9/2024 19:46:23;0;1;3;3;3;Las empresas deberían crear normativas para evitar la contaminación y desechos.
5/9/2024 19:47:32;1;2;3;4;5;Primero mantener seguridad mediante almacenamientos perecibles junto con cosas de emergencias relacionadas a la salud por si algun cambio climatico  genera algun daño de desastre natural
5/9/2024 19:49:01;5;2;4;5;5;Usar menos plástico e implementar un sistema de limpieza en los ríos y mares contaminados por causa del humano 
5/9/2024 19:49:59;3;3;3;3;3;Desconectar aparatos electrónicos, como televisores u ordenadores, cuando no los estés usando. La mayoría de estos aparatos siguen consumiendo energía incluso cuando están apagados
5/9/2024 19:50:06;4;3;3;3;3;Que se debe reciclar aun más y tener conciencia sobre la basura.
5/9/2024 19:50:58;3;3;2;1;1;Implementar un sistema organizado de limpieza de calles
5/9/2024 19:54:10;0;0;0;5;5;Dejar de quemar combustibles fosiles
5/9/2024 20:22:06;0;0;0;0;0;es una amenaza urgente y compleja que requiere una acción global concertada. La comunidad científica ha dejado claro que la actividad humana está causando que el clima de la Tierra cambie a un ritmo sin precedentes, y que esto ya está teniendo impactos significativos en los sistemas naturales y humanos.
5/9/2024 20:43:54;5;5;4;4;3;Reciclar e intentar minimizar nuestro impacto generando menos basura. Desplazamientos de manera sostenible: transporte público, uso de la bicicleta, patinete… Y, para viajes más largos, optar por el tren en lugar del avión. Ahorrar en el consumo de energía.
5/9/2024 20:47:17;2;1;2;2;3;Reciclar e intentar minimizar nuestro impacto generando menos basura. Desplazamientos de manera sostenible: transporte público, uso de la bicicleta, patinete… Y, para viajes más largos, optar por el tren en lugar del avión. Ahorrar en el consumo de energía
5/10/2024 11:00:30;0;1;2;3;4;es necesario investigar mas a cerca de fuentes de energía renovables y empezar a consumirlas para así ayudar a disminuir la emisión de gases de invernadero además de hacer mas énfasis en el reciclaje.
5/11/2024 9:10:20;3;4;1;1;3;restricciones y medidas preventivas
5/11/2024 9:13:24;0;0;0;0;5;"El cambio climático es una de las mayores prioridades globales de nuestro tiempo, por esto debemos:
1. Reducir las emisiones de gases de efecto invernadero
2. Conservación de bosques y reforestación
"
5/11/2024 9:13:43;0;0;3;5;5;menos contaminación, meno tala de arboles y mas conciencias debe tener la humanidad.
5/11/2024 9:13:54;4;3;3;5;5;Nosotros los humanos estamos destruyendo de a poco el planeta con tantos inventos que afectan al clima y por ende los glaciares se están descongelando de a poco 
5/11/2024 18:29:31;0;0;5;5;5;Nuestras acciones influyen en directamente al estado del lugar donde vivimos, si tomamos decisiones poco acertadas no veremos afectados por las consecuencias ambientales
5/11/2024 18:59:22;0;1;2;3;4;Fomento de la eficiencia energética, conservación de los ecosistemas naturales, educación y sensibilización pública
5/11/2024 20:15:43;0;1;3;2;1;Deben tener o adaptar tener mas informados a la ciudadanía para que este preparada para los cambios
5/13/2024 19:34:18;0;1;2;3;5;"Educacion en los planteles educativos
"
5/13/2024 20:39:45;3;3;3;3;3;Puedo proporcionar una visión general de las acciones que se consideran importantes para responder al cambio climático. Es importante destacar que la respuesta al cambio climático es un esfuerzo global que requiere la participación y el compromiso de todos los sectores y niveles de la sociedad.
5/14/2024 2:36:22;0;0;0;0;5;A mi aparecer para para responder contra el cambio climático se deberían tomar medidas drásticas como el dejar de usar combustibles fósiles o reducir la tala de arboles.
5/14/2024 10:48:23;0;0;0;4;5;Reducir el consumo de aerosoles que afecten a la capa de ozono
5/14/2024 22:31:01;3;3;1;3;3;tratar de que las empresas no boten mucho humo
5/14/2024 23:54:07;2;2;3;4;5;Realizar acciones que prevalezcan la naturaleza y sus recursos.
5/15/2024 8:31:25;0;0;3;4;5;Campañas para hacer conciencia del impacto climático, reforestación en zonas del mundo que sufriero la deforestación. 
5/15/2024 13:13:56;1;1;4;5;5;Los factores que implican el cambio climático son demasiados como para generalizarlos en un solo tema, sin embargo, ser conscientes con nuestro entorno y cuidarlo es obra suficiente para hacer un aporte.
5/15/2024 13:32:34;1;1;4;4;4;Proteger los ecosistemas naturales como los bosques, los océanos y las áreas silvestres es crucial para absorber el exceso de carbono de la atmósfera y mantener la biodiversidad.
5/15/2024 15:07:12;1;1;3;3;3;Conservar y proteger los bosques existentes y promover la reforestación en áreas deforestadas o degradadas.
5/16/2024 0:03:52;0;0;0;4;0;Reducir el consumo de energía, Conservar la naturaleza, Apoyar políticas y legislación ambiental
5/16/2024 0:06:02;3;2;3;2;3;"Reducir CO2: renovables, eficiencia energética, menos tala de árboles.
Tecnologías limpias: industria, transporte, agricultura, construcción.
Adaptarse: comunidades, infraestructura, agua.
Cooperación global: acuerdos, tecnología, financiamiento.
La acción climática efectiva requiere un enfoque multifacético que involucre a gobiernos, empresas, individuos y comunidades de todo el mundo. "
5/16/2024 0:22:06;4;4;3;4;4;Reciclar e intentar minimizar nuestro impacto generando menos basura. Desplazamientos de manera sostenible: transporte público, uso de la bicicleta, patinete… Y, para viajes más largos, optar por el tren en lugar del avión. Ahorrar en el consumo de energía.
5/16/2024 0:30:02;3;4;3;3;3;"La acción climática efectiva requerirá un enfoque multifacético que involucre a gobiernos, empresas, individuos y comunidades de todo el mundo
Reducir CO2: renovables, eficiencia energética, menos tala de árboles.
Tecnologías limpias: industria, transporte, agricultura, construcción.
Adaptarse: comunidades, infraestructura, agua.
Cooperación global: acuerdos, tecnología, financiamiento.
"
5/16/2024 0:33:31;4;4;3;3;4;Reciclar e intentar minimizar nuestro impacto generando menos basura. Desplazamientos de manera sostenible: transporte público, uso de la bicicleta, patinete… Y, para viajes más largos, optar por el tren en lugar del avión. Ahorrar en el consumo de energía
5/16/2024 11:43:22;0;0;0;5;0;Establecer leyes de transito y un control mas estricto en cuanto al manejo de automoviles, desechos quimicos y uso de aerosoles al aire libre asi como tambien la plantacion de arboles para reducir el gastoo energetico
5/16/2024 17:29:04;3;2;3;1;1;usar menos los combustibles fosiles 
5/16/2024 17:35:16;5;5;5;5;5;Mejorar hábitos de consumo
5/17/2024 0:13:14;5;5;5;5;5;Reducir la contaminación 
5/17/2024 17:39:58;1;2;3;3;3;Los ecosistemas desempeñan un papel fundamental en la regulación del clima y la provisión de servicios esenciales para el bienestar humano. La protección y restauración de los bosques, humedales y otros ecosistemas naturales es vital para mitigar el cambio climático y construir resiliencia.
5/18/2024 9:40:00;3;2;4;3;3;La redistribución de recursos y la reinvención de maneras de generar energía para el mundo
5/19/2024 14:08:11;5;5;5;5;5;se deben implementar políticas de reducción de emisiones de carbono mediante la transición a energías renovables y la promoción de la eficiencia energética.
5/19/2024 19:47:47;0;2;3;4;5;Dejar de utilizar mucho  petróleo en el mundo
6/2/2024 13:17:59;5;3;4;3;4;"Contaminar menos
"
